# This is a list of IPs and IP Ranges that has been a serious threat to ARFNET

# Google Cloud HTTP Spam (filling logs)
GOOGLE-CLOUD (NET-104-154-0-0-1)		104.154.0.0	104.155.255.255
GOOGLE-CLOUD (NET6-2620-84-1)			2620:84::	2620:84:1:FFFF:FFFF:FFFF:FFFF:FFFF
GOOGLE-CLOUD (NET-173-255-112-0-1)		173.255.112.0	173.255.127.255
GOOGLE-CLOUD (NET-104-196-0-0-1)		104.196.0.0	104.199.255.255
GOOGLE-CLOUD (NET-192-158-28-0-1)		192.158.28.0	192.158.31.255
GOOGLE-CLOUD (NET-199-192-112-0-1)		199.192.112.0	199.192.115.255
GOOGLE-CLOUD (NET6-2600-1900-1)			2600:1900::	2600:190F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
GOOGLE-CLOUD (NET-162-222-176-0-1)		162.222.176.0	162.222.183.255
GOOGLE-CLOUD (NET-107-167-160-0-1)		107.167.160.0	107.167.191.255
GOOGLE-CLOUD (NET-107-178-192-0-1)		107.178.192.0	107.178.255.255
GOOGLE-CLOUD (NET-108-59-80-0-1)		108.59.80.0	108.59.95.255
GOOGLE-CLOUD (NET-130-211-0-0-1)		130.211.0.0	130.211.255.255
GOOGLE-CLOUD (NET-146-148-0-0-1)		146.148.0.0	146.148.127.255
GOOGLE-CLOUD (NET-162-216-148-0-1)		162.216.148.0	162.216.151.255
GOOGLE-CLOUD (NET-199-223-232-0-1)		199.223.232.0	199.223.239.255
GOOGLE-CLOUD (NET-23-251-128-0-1)		23.251.128.0	23.251.159.255
GOOGLE-CLOUD (NET-23-236-48-0-1)		23.236.48.0	23.236.63.255
LVLT-GOOGL-2-8-35-200 (NET-8-35-200-0-1)	8.35.200.0	8.35.207.255
LVLT-GOOGL-2-8-34-216 (NET-8-34-216-0-1)	8.34.216.0	8.34.223.255
LVLT-GOOGL-2-8-34-208 (NET-8-34-208-0-1)	8.34.208.0	8.34.215.255
LVLT-GOOGL-2-8-35-192 (NET-8-35-192-0-1)	8.35.192.0	8.35.199.255
GOOGLE-CLOUD (NET6-2602-FF11-1)			2602:FF11::	2602:FF11:FFF:FFFF:FFFF:FFFF:FFFF:FFFF
GOOGLE-CLOUD (NET-35-184-0-0-1)			35.184.0.0	35.191.255.255
GOOGLE-CLOUD (NET-35-192-0-0-1)			35.192.0.0	35.207.255.255
GOOGLE-CLOUD (NET-35-208-0-0-1)			35.208.0.0	35.247.255.255
GOOGL-2 (NET-34-64-0-0-1)			34.64.0.0	34.127.255.255
GOOGL-2 (NET-34-128-0-0-1)			34.128.0.0	34.191.255.255
GOOGLE-CLOUD (NET6-2600-2D00-1)			2600:2D00::	2600:2D0F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
